,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Cena
10996,Beograd,Zemun,Galenika,Milice Šuvaković,Stan,54,2.0,58000
10997,Beograd,Stari grad,Centar,Mike Alasa,Stan,85,3.0,128000
10998,Beograd,Vračar,Kalenić pijaca,Niška,Stan,91,3.0,145000
10999,Beograd,Savski venac,Centar,Admirala Geprata,Stan,71,3.0,99000
11000,Beograd,Palilula,Botanička bašta,Bulevar despota Stefana,Stan,87,3.0,110000
11001,Beograd,Čukarica,Cerak,Jablanička,Stan,87,3.0,82000
11002,Beograd,Vračar,Južni bulevar,Južni bulevar,Stan,50,2.0,70000
11003,Beograd,Rakovica,Miljakovac,CELEBICKA,Stan,56,3.0,53000
11004,Beograd,Zvezdara,Mirijevo,Teodora Mirjevskog ,Stan,60,3.0,60000
11005,Beograd,Vračar,Hram svetog Save,Nebojšina,Stan,140,4.0,300000
11006,Beograd,Savski venac,Dedinje,Velisava Vulovica,Stan,123,4.0,209100
11007,Beograd,Zemun,Save Kovačevića,Prvomajska,Stan,30,1.0,26000
11008,Beograd,Čukarica,Bele vode,Patrijarha Milorada Pavlovica,Stan,55,2.5,49900
11009,Beograd,Voždovac,FON - Bilećka,LJube Šercera,Stan,41,1.5,41000
11010,Beograd,Zemun,Zemun polje,Negovana Ljubinkovića,Stan,45,1.0,25000
11011,Beograd,Voždovac,Voždovačka crkva,Vojvode Stepe,Stan,56,1.5,57000
11012,Beograd,Zvezdara,Olimp,Vjekoslava Kovača,Stan,64,2.0,60000
11013,Beograd,Vračar,Južni bulevar,Grahovska,Stan,40,1.5,71000
11014,Beograd,Novi Beograd,Blok 64,Gandijeva,Stan,63,2.0,65000
11015,Beograd,Palilula,Mašinski fakultet,Velbuska,Stan,62,2.5,106000
11016,Beograd,Zemun,Retenzija,Prve pruge,Stan,45,1.0,55000
11017,Beograd,Zvezdara,Gradska bolnica,Dimitrija Tucovića,Stan,72,3.0,90000
11018,Beograd,Čukarica,Cerak vinogradi,Cerova,Stan,72,2.5,80000
11019,Beograd,Vračar,Hram svetog Save,Patrijarha Varnave,Stan,105,3.5,180000
11020,Beograd,Zvezdara,Denkova bašta,Braće Miladinov,Stan,87,3.0,100000
11021,Beograd,Voždovac,Dušanovac,Ustanička,Stan,71,3.0,90000
11022,Beograd,Palilula,Profesorska kolonija,Milana Tankosića,Stan,64,2.5,79000
11023,Beograd,Rakovica,Skojevsko naselje,Luke Vojvodića,Stan,59,2.0,62000
11024,Beograd,Zvezdara,Gradska bolnica,Dimitrija Tucovića,Stan,79,3.5,82000
11025,Beograd,Savski venac,Dedinje,Velisava Vulovića,Stan,140,4.0,252000
11026,Beograd,Rakovica,Vidikovac,Vidikovacki venac,Stan,86,4.0,97000
11027,Beograd,Voždovac,Braće Jerković,Indire Gandi,Stan,79,3.0,79000
11028,Beograd,Stari grad,Centar,Balkanska,Stan,53,3.0,120000
11029,Beograd,Stari grad,Centar,Svetogorska,Stan,133,4.0,210000
11030,Beograd,Palilula,Krnjača,Sutjeska,Stan,37,1.0,25000
11031,Beograd,Palilula,Krnjača,Sutjeska,Stan,37,1.5,31500
11032,Beograd,Savski venac,Humska,Dobropoljska,Stan,126,4.0,237500
11033,Beograd,Novi Beograd,Bežanijska kosa 1,Vajara Živojina Lukića,Stan,80,2.5,75000
11034,Beograd,Voždovac,Braće Jerković,Meštrovićeva,Stan,70,3.0,64900
11035,Beograd,Vračar,Južni bulevar,Južni Bulevar,Stan,86,3.0,161900
11036,Beograd,Palilula,Karaburma,Husinskih rudara,Stan,48,2.5,44900
11037,Beograd,Zvezdara,Lion,Despota Olivera,Stan,61,2.0,84500
11038,Beograd,Zvezdara,Vukov Spomenik,Vojvode Brane,Stan,29,1.0,44900
11039,Beograd,Voždovac,Lekino brdo,Miklošićeva,Stan,58,2.0,89000
11040,Beograd,Voždovac,Lekino brdo,Miklošićeva,Stan,70,2.5,103000
11041,Beograd,Voždovac,Vojvode Stepe,kod vera,Stan,95,4.0,90000
11042,Beograd,Zvezdara,Veliki Mokri Lug,Vladimira Mitrovića,Stan,60,2.5,69500
11043,Beograd,Voždovac,Lekino brdo,Dragačevska,Stan,96,3.0,105000
11044,Beograd,Stari grad,Skupština,Palmotićeva,Stan,102,3.0,215000
11045,Beograd,Zvezdara,Đeram pijaca,Bulevar Kralja Aleksandra,Stan,22,1.0,35000
11046,Beograd,Palilula,Botanička bašta,Šajkaška,Stan,63,2.0,85000
11047,Beograd,Vračar,Cvetni trg,Kralja Milana,Stan,32,1.0,54000
11048,Beograd,Grocka,Vinča,Profesora Vasica,Stan,25,1.0,20000
11049,Beograd,Voždovac,Lekino brdo,STRUMIČKA,Stan,26,1.5,59900
11050,Beograd,Palilula,Bogoslovija,Cice Romanijskog,Stan,143,5.0,143000
11051,Beograd,Vračar,Slavija,SVETOG SAVE,Stan,40,1.5,92000
11052,Beograd,Vračar,Hram svetog Save,Stojana Protića,Stan,40,1.5,82000
11053,Beograd,Stari grad,Kalemegdan,KRALJA PETRA,Stan,40,2.0,99000
