,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena
1544,Beograd,Opština Vračar,Kalenić pijaca,baba visnjina,Stan,92.0,3.5,EG,2,4,186000.0
3139,Beograd,Opština Vračar,Kalenić pijaca,baba visnjina,Stan,92.0,3.5,EG,2,4,186000.0
4059,Beograd,Opština Vračar,Kalenić pijaca,baba visnjina,Stan,92.0,3.5,EG,2,4,194000.0
5504,Beograd,Opština Savski venac,Dedinje,baje pivljanina,Stan,167.0,4.0,EG,3,3,450000.0
6075,Beograd,Opština Stari grad,Centar,balkanska,Stan,88.0,3.0,EG,6,6,117000.0
4832,Beograd,Opština Savski venac,Balkanska,balkanska,Stan,88.0,3.0,CG,5,5,128000.0
4790,Beograd,Opština Stari grad,Centar,balkanska,Stan,44.0,2.0,TA,PR,3,102000.0
3610,Beograd,Opština Savski venac,Balkanska,balkanska,Stan,57.0,2.0,CG,1,4,87000.0
5668,Beograd,Opština Savski venac,Balkanska,balkanska,Stan,38.0,1.5,CG,9,10,76000.0
5167,Beograd,Opština Zvezdara,Gradska bolnica,bana ivanisa,Stan,52.0,2.0,EG,PR,1,61500.0
5823,Beograd,Opština Zvezdara,Gradska bolnica,bana ivanisa,Stan,40.0,1.5,CG,PR,4,41000.0
2696,Beograd,Opština Zvezdara,Gradska bolnica,bana ivanisa,Stan,52.0,2.0,EG,1,4,61500.0
1181,Beograd,Opština Zvezdara,Gradska bolnica,bana ivanisa,Stan,52.0,2.0,EG,1,4,61500.0
2610,Beograd,Opština Zemun,Gornji grad,banjska,Stan,40.0,1.5,CG,8,20,49500.0
2293,Beograd,Opština Zemun,Gornji grad,banjska,Stan,71.0,2.5,CG,2,22,64000.0
3666,Beograd,Opština Zemun,Save Kovačevića,banjska,Stan,72.0,3.5,CG,10,22,65000.0
383,Beograd,Opština Zemun,Gornji grad,banjska,Stan,71.0,2.5,CG,2,22,64000.0
3960,Beograd,Opština Zemun,Novi grad,banjska,Stan,73.0,2.0,CG,17,22,68000.0
3690,Beograd,Opština Zemun,Meandri,banjska,Stan,73.0,2.5,CG,17,22,70000.0
4101,Beograd,Opština Zemun,Novi grad,banjska,Stan,72.0,2.0,CG,7,22,75000.0
843,Beograd,Opština Zemun,Gornji grad,banjska,Stan,40.0,1.5,CG,8,20,49500.0
2733,Beograd,Opština Savski venac,Dedinje,banjicki venac,Stan,62.0,2.0,TA,1,2,87000.0
1201,Beograd,Opština Savski venac,Dedinje,banjicki venac,Stan,62.0,2.0,TA,1,2,87000.0
5186,Beograd,Opština Savski venac,Senjak,banjickih zrtava,Stan,112.0,4.0,CG,3,4,280000.0
377,Beograd,Opština Zvezdara,Bulevar kralja Aleksandra,banjska,Stan,65.0,2.5,EG,1,4,78000.0
5527,Beograd,Opština Zvezdara,Đeram pijaca,banjska,Stan,65.0,2.5,Norveški radijatori,1,3,77900.0
412,Beograd,Opština Zvezdara,Vukov Spomenik,banjska,Stan,61.0,2.5,Norveški radijatori,1,4,84000.0
4791,Beograd,Opština Zvezdara,Đeram pijaca,banjska,Stan,60.0,2.5,CG,1,5,81000.0
4813,Beograd,Opština Zvezdara,Vukov Spomenik,banjska,Stan,65.0,2.5,Norveški radijatori,2,5,84500.0
2058,Beograd,Opština Zvezdara,Vukov Spomenik,banjska,Stan,61.0,2.5,Norveški radijatori,1,4,84000.0
1445,Beograd,Opština Zvezdara,Đeram pijaca,banjska,Stan,65.0,2.5,EG,1,4,87750.0
2953,Beograd,Opština Zvezdara,Đeram pijaca,banjska,Stan,65.0,2.5,EG,1,4,87750.0
2331,Beograd,Opština Zvezdara,Bulevar kralja Aleksandra,banjska,Stan,65.0,2.5,EG,1,4,78000.0
6016,Beograd,Opština Palilula,Bogoslovija,bata lakina,Stan,78.0,4.0,EG,VPR,3,66000.0
4299,Beograd,Opština Zemun,Sutjeska,backa,Stan,52.0,3.0,EG,1,3,62400.0
5038,Beograd,Opština Zemun,Sutjeska,backa,Stan,51.0,3.0,EG,1,3,61200.0
328,Beograd,Opština Zemun,Meandri,backa,Stan,76.0,3.0,CG,1,7,80000.0
5806,Beograd,Opština Zemun,Novi grad,backa,Stan,63.0,3.0,EG,PR,3,48500.0
2547,Beograd,Opština Zemun,Meandri,backa,Stan,64.0,2.0,CG,4,6,60900.0
597,Beograd,Opština Zemun,Meandri,backa,Stan,64.0,2.0,CG,4,6,60900.0
5347,Beograd,Opština Voždovac,Lekino brdo,bacvanska,Stan,60.0,2.5,CG,4,11,75000.0
518,Beograd,Opština Voždovac,Lekino brdo,bacvanska,Stan,57.0,2.5,CG,10,16,60000.0
1487,Beograd,Opština Voždovac,Lekino brdo,bacvanska,Stan,53.0,2.0,CG,6,12,74000.0
4027,Beograd,Opština Voždovac,Lekino brdo,bacvanska,Stan,31.0,1.0,EG,1,2,41000.0
